MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-01,M,19
IGUATU,HOMICIDIO DOLOSO,ARMA BRANCA,2016-12-01,M,44
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-01,M,19
ACARAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-01,M,38
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-01,M,35
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-01,F,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-01,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-02,M,40
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-02,M,36
ABAIARA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-12-02,M,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-02,F,29
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-02,M,15
AIUABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-02,M,47
CHAVAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-02,M,24
FARIAS BRITO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-02,M,46
JARDIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-02,M,46
BEBERIBE,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA BRANCA,2016-12-03,M,51
CRATEÚS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-03,M,17
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-03,M,30
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-12-03,M,27
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-12-03,M,28
