MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-01,M,18
BATURITÉ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-01,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-01,M,21
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-01,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-01,M,30
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-01,M,18
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-01,M,20
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-02,M,33
PACATUBA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-02,M,15
ASSARÉ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-02,F,23
CHAVAL,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-02,M,64
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-02,M,43
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-05-02,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-02,M,34
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-02,M,34
ORÓS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-02,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-02,M,16
FORTALEZA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2016-05-02,M,50
CAMOCIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-02,M,26
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,27
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,-
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,F,49
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,53
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,43
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,22
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,17
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,23
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,57
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,30
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,23
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-03,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-04,M,20
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-04,M,34
TABULEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-04,M,30
ACOPIARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-04,F,21
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,OUTROS,2016-05-04,I,-
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-04,M,33
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-04,M,25
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-04,M,30
PIQUET CARNEIRO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-05,M,39
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-05,M,29
SOBRAL,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-05,F,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-05,M,20
PALMÁCIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-05,M,60
AQUIRAZ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-05,M,67
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-05,M,28
ARACOIABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-05,M,24
HORIZONTE,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-05-05,M,48
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-06,M,20
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-06,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-06,M,41
ITAPAJÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-06,M,17
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-06,M,60
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-06,M,36
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-07,M,24
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-07,M,24
IGUATU,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2016-05-07,F,40
GRANJA,HOMICIDIO DOLOSO,OUTROS,2016-05-07,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-07,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-07,F,49
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,F,17
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,25
BEBERIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,25
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,19
ABAIARA,HOMICIDIO DOLOSO,OUTROS,2016-05-08,M,34
TURURU,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-08,M,35
TIANGUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,23
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,24
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,23
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,26
CANINDÉ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-08,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,37
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,27
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-08,M,21
CRATO,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-09,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-09,M,25
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-09,M,32
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-09,M,47
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-09,M,53
MASSAPÊ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-09,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-09,M,25
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-09,F,22
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-10,M,24
QUIXERAMOBIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-10,M,16
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-05-10,M,57
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-10,M,22
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-05-10,M,48
ITAREMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-10,M,25
SANTA QUITÉRIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-11,M,54
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-05-11,M,-
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-11,M,19
QUIXERAMOBIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-11,M,18
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-11,M,58
POTENGI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-11,M,25
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-12,M,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-12,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-12,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-12,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-12,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-13,M,21
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-13,M,23
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-13,M,68
CAPISTRANO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-13,M,16
TABULEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-13,M,15
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-13,M,16
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-13,M,25
PARAMOTI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-13,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-05-13,M,25
MORRINHOS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-13,M,40
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-13,M,50
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,35
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,23
BEBERIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,-
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,21
URUBURETAMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,28
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,39
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,14
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,30
QUIXERAMOBIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,52
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,F,45
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,37
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-05-14,M,32
