MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-01,M,26
EUSÉBIO,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-01,M,24
MISSÃO VELHA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-01,M,36
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-01,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-01,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-01,M,16
MAURITI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-01,M,18
ARACOIABA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-01,M,52
FORTALEZA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2016-10-01,M,39
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-01,M,20
CAUCAIA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2016-10-01,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-01,M,29
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-01,M,30
MADALENA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-01,M,45
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-02,M,27
ITAPIÚNA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-02,M,23
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-02,F,10
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-02,F,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-02,M,41
PACAJUS,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-02,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-02,M,38
TAUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-02,M,28
TAUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-02,M,42
TAUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-02,M,32
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-02,F,21
ACARAÚ,HOMICIDIO DOLOSO,OUTROS,2016-10-03,M,63
ITAPIPOCA,HOMICIDIO DOLOSO,OUTROS,2016-10-03,M,33
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-10-03,M,-
SENADOR SÁ,HOMICIDIO DOLOSO,OUTROS,2016-10-03,M,66
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-03,M,16
BOA VIAGEM,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-03,M,60
TIANGUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-03,M,23
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-03,M,19
JUCÁS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-03,M,27
IGUATU,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-03,M,43
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-04,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-04,M,41
FORTALEZA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2016-10-04,M,36
ACARAPE,HOMICIDIO DOLOSO,OUTROS,2016-10-04,M,63
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-04,M,23
SANTANA DO ACARAÚ,HOMICIDIO DOLOSO,OUTROS,2016-10-04,M,86
BARREIRA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-04,M,22
SÃO LUÍS DO CURU,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-04,M,44
PACOTI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-04,M,17
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-04,M,-
UBAJARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-05,M,-
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-05,M,68
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-05,M,-
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-05,M,17
MIRAÍMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-05,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-05,M,63
JAGUARUANA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-05,M,50
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-05,M,37
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-05,M,29
BARREIRA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-05,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-05,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-05,M,44
ARACATI,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-06,M,58
UMIRIM,LESÃO CORPORAL SEGUIDA DE MORTE,ARMA BRANCA,2016-10-06,M,55
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-06,M,29
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-06,F,34
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-06,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-06,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-07,M,-
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-07,M,21
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-10-07,M,29
BARREIRA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-07,M,20
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-07,M,21
OCARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-07,M,21
OCARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-07,M,15
ITAREMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-07,M,18
CRATEÚS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-08,M,42
PACAJUS,HOMICIDIO DOLOSO,OUTROS,2016-10-08,M,-
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-08,M,44
MULUNGU,HOMICIDIO DOLOSO,OUTROS,2016-10-08,M,15
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-08,M,41
PORANGA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-08,F,20
CAMOCIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-09,M,19
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-09,M,17
TIANGUÁ,HOMICIDIO DOLOSO,OUTROS,2016-10-09,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-10-09,F,41
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-09,M,21
OCARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-09,M,23
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-09,M,19
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-09,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-09,M,18
POTENGI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-09,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,-
TAUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,27
SENADOR POMPEU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,23
CANINDÉ,HOMICIDIO DOLOSO,OUTROS,2016-10-10,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,25
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,56
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,20
PORTEIRAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,40
JAGUARUANA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,33
CANINDÉ,HOMICIDIO DOLOSO,OUTROS,2016-10-10,M,31
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-10-10,M,23
