MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-01,M,18
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-01,M,46
IPU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-01,M,32
MUCAMBO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-01,M,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-01,M,14
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-01,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-02,M,31
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-02,M,18
CAUCAIA,HOMICIDIO DOLOSO,OUTROS,2016-09-02,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-02,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-02,M,36
EUSÉBIO,HOMICIDIO DOLOSO,OUTROS,2016-09-02,M,54
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-02,M,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-02,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-03,M,38
GUARAMIRANGA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-09-03,M,34
SALITRE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-03,M,36
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-03,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-03,M,24
PIQUET CARNEIRO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-03,M,29
CHORÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-03,M,-
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-03,M,30
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-03,M,17
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-03,M,17
PORANGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-04,M,37
BREJO SANTO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-04,M,29
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-04,M,14
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,OUTROS,2016-09-04,M,20
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-04,M,18
CANINDÉ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-09-04,M,43
TAUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-05,M,49
QUIXERAMOBIM,HOMICIDIO DOLOSO,ARMA BRANCA,2016-09-05,M,21
FORTALEZA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2016-09-05,F,48
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-05,M,39
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-05,F,37
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-06,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-06,M,25
OCARA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-09-06,F,26
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-07,M,19
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-07,M,19
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-09-07,M,40
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-07,M,17
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-07,F,14
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-07,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-07,F,29
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-07,M,35
ICAPUÍ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-08,M,16
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-09-08,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-08,M,22
ICAPUÍ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-08,M,49
SANTA QUITÉRIA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-09-08,M,35
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-08,M,68
MOMBAÇA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-08,M,-
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-08,M,25
SENADOR POMPEU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-09,M,44
ARARIPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-09,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-09,M,47
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-09,M,24
EUSÉBIO,HOMICIDIO DOLOSO,OUTROS,2016-09-09,M,22
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-09,M,32
MISSÃO VELHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-09,M,50
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-09,M,17
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-10,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-10,M,18
CRATO,HOMICIDIO DOLOSO,ARMA BRANCA,2016-09-10,M,47
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-09-10,M,33
