MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
MOMBAÇA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-01,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-01,M,-
JUCÁS,HOMICIDIO DOLOSO,OUTROS,2017-01-01,M,53
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-01,M,18
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-01,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-01,M,37
IGUATU,LESÃO CORPORAL SEGUIDA DE MORTE,ARMA BRANCA,2017-01-01,M,34
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-01,M,30
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-01,M,26
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-01,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-01,M,30
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-01,M,16
OCARA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2017-01-01,M,30
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-01,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-01,M,27
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2017-01-01,M,35
ITAPAJÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-02,M,33
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-02,M,39
ICÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-02,M,22
RUSSAS,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-02,M,30
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-02,M,43
COREAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-02,M,34
MOMBAÇA,HOMICIDIO DOLOSO,OUTROS,2017-01-02,M,30
OCARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-02,M,31
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-03,M,33
VARJOTA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA BRANCA,2017-01-03,F,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-03,M,17
IRAUÇUBA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-03,M,23
AURORA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-03,M,52
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-03,M,47
PINDORETAMA,HOMICIDIO DOLOSO,OUTROS,2017-01-03,M,49
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-03,F,34
MARACANAÚ,HOMICIDIO DOLOSO,OUTROS,2017-01-03,M,23
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-03,M,20
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-03,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-03,M,27
TAUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-03,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-03,M,39
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,41
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,24
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,14
ACOPIARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,25
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,51
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,50
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,33
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2017-01-04,M,33
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,34
ACOPIARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,35
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-04,M,23
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,30
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,-
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,25
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,63
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,48
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,26
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,46
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,19
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,20
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,23
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-05,M,28
PARAMBU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-06,M,66
PINDORETAMA,HOMICIDIO DOLOSO,OUTROS,2017-01-06,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-06,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-06,M,17
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-06,M,47
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-06,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-06,M,19
ITAPAJÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-06,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-06,M,15
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2017-01-06,M,24
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-06,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,34
TAUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-07,M,75
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,24
NOVA JAGUARIBARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,19
AQUIRAZ,HOMICIDIO DOLOSO,OUTROS,2017-01-07,M,-
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-07,M,27
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-07,M,21
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,35
FORQUILHA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-07,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,27
ALTO SANTO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,15
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,21
ALTO SANTO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,23
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2017-01-07,M,43
FARIAS BRITO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,19
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,38
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,49
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-07,M,14
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-08,M,28
CARIÚS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-08,M,29
UMIRIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-08,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-08,M,17
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-08,M,18
AMONTADA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-08,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-08,M,17
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-08,M,17
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-08,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,28
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,29
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2017-01-09,M,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,21
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,I,-
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,36
SENADOR POMPEU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,40
SENADOR POMPEU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,16
PACOTI,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-09,M,27
AMONTADA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-09,M,50
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,20
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,29
REDENÇÃO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,39
APUIARÉS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,43
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-09,M,15
JARDIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-10,M,26
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-10,M,31
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-10,M,52
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-10,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-10,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-10,M,32
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2017-01-11,M,-
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2017-01-11,M,53
BREJO SANTO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-11,M,53
NOVA RUSSAS,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-11,F,17
PARAMBU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-11,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-11,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-11,M,17
MIRAÍMA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-12,M,19
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-12,M,33
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-12,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-12,M,16
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-12,M,35
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-12,M,44
QUIXERAMOBIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-12,M,24
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-12,M,18
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-12,M,22
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-13,M,34
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,OUTROS,2017-01-13,M,-
MILAGRES,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-13,M,33
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-13,M,32
POTENGI,ROUBO SEGUIDO DE MORTE (LATROCINIO),OUTROS,2017-01-13,M,70
MILAGRES,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-13,M,60
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-13,F,22
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-13,M,30
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-13,F,18
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-13,M,21
SÃO BENEDITO,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-13,M,23
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-14,M,25
ACOPIARA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2017-01-14,M,64
TABULEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-14,M,51
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-14,M,34
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-14,M,33
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-14,M,16
PACATUBA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-14,M,32
JAGUARUANA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-14,M,43
HIDROLÂNDIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-14,M,17
BARREIRA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-14,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-14,M,39
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-14,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-15,M,23
MISSÃO VELHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-15,M,20
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-15,M,19
BEBERIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-15,M,38
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-15,M,77
CRUZ,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-15,M,27
PARAMBU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-16,M,34
VARJOTA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-16,M,29
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-16,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-16,M,57
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-16,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-16,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-16,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-16,M,20
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-16,M,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-16,M,23
ORÓS,HOMICIDIO DOLOSO,ARMA BRANCA,2017-01-17,M,35
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-01-17,M,36
