MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-01,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-01,M,21
ORÓS,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-01,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-01,M,-
SOBRAL,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-01,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-01,M,45
JUCÁS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-01,M,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-01,M,43
PARAMBU,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-01,M,-
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-01,M,23
URUBURETAMA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-01,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-01,M,19
BOA VIAGEM,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,20
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,39
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,-
TAUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-02,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,F,45
SÃO BENEDITO,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-02,M,40
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,27
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,34
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,48
MADALENA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2017-11-02,M,45
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-02,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,27
ARACATI,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,20
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-02,M,22
CASCAVEL,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-02,M,22
MADALENA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,29
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,31
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,37
MAURITI,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,42
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,16
ICÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,32
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2017-11-03,M,-
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-03,M,51
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,F,22
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,41
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,34
BARBALHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,31
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,36
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,52
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,18
IRAUÇUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,23
ACOPIARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,20
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,19
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-03,M,19
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,40
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,34
PINDORETAMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,40
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,F,17
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,35
ITAPAJÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,33
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,F,16
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,18
ITAPAJÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,19
PINDORETAMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,20
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-04,F,-
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-11-04,F,32
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,F,43
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,18
SÃO LUÍS DO CURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-11-04,M,55
