MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,F,15
JUCÁS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,25
PARAIPABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,40
ITAPAJÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,20
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,32
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,40
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,18
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,25
IPUEIRAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,29
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,29
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,34
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA BRANCA,2017-10-01,M,52
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,19
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,50
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-01,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-10-01,M,32
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,24
ITAREMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,45
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,21
CHOROZINHO,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2017-10-02,M,54
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,22
BEBERIBE,HOMICIDIO DOLOSO,OUTROS,2017-10-02,M,40
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,23
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,15
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA BRANCA,2017-10-02,M,-
BEBERIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-02,M,19
CRATO,HOMICIDIO DOLOSO,OUTROS,2017-10-03,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,18
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,-
FORTALEZA,HOMICIDIO DOLOSO,NI,2017-10-03,M,-
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-10-03,M,49
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,17
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,32
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,F,18
PARAMBU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,66
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,17
PARACURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-03,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,-
CAUCAIA,HOMICIDIO DOLOSO,OUTROS,2017-10-04,M,19
POTIRETAMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,44
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,29
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,23
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2017-10-04,F,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,26
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,31
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,23
FORQUILHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,20
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,57
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,M,33
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-04,F,13
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,M,27
CRATEÚS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,M,19
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,M,26
ICAPUÍ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,F,17
ICAPUÍ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,F,38
BREJO SANTO,HOMICIDIO DOLOSO,ARMA BRANCA,2017-10-05,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,M,21
TABULEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,M,32
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,M,20
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,M,19
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-05,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,21
SÃO LUÍS DO CURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,27
MAURITI,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,31
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,23
CROATÁ,HOMICIDIO DOLOSO,OUTROS,2017-10-06,M,-
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,20
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,21
FARIAS BRITO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,20
MILAGRES,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,17
AURORA,HOMICIDIO DOLOSO,OUTROS,2017-10-06,M,79
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,34
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,32
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,21
COREAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,38
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-10-06,M,-
MARACANAÚ,HOMICIDIO DOLOSO,OUTROS,2017-10-07,F,20
