MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-01,M,35
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,OUTROS,2019-04-01,M,21
SALITRE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-01,M,15
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-01,M,58
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-01,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-01,M,17
CARNAUBAL,HOMICIDIO DOLOSO,OUTROS,2019-04-01,F,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-01,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-02,M,-
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-02,M,18
JUAZEIRO DO NORTE,FEMINICÍDIO,ARMA DE FOGO,2019-04-02,F,37
CARIDADE,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-03,M,26
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-03,M,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-03,M,-
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-03,M,35
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-03,M,51
SOBRAL,HOMICIDIO DOLOSO,OUTROS,2019-04-03,M,20
JAGUARUANA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-04,M,32
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-04,M,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-04,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-04,M,38
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-04,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-04,M,14
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-04,M,19
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-05,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-05,M,-
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-05,M,18
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-05,M,29
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-05,M,26
SÃO LUÍS DO CURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-05,M,20
VIÇOSA DO CEARÁ,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA BRANCA,2019-04-05,M,69
NOVA JAGUARIBARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-05,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-06,M,28
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-06,M,34
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-06,M,30
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-06,M,20
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-06,M,33
BELA CRUZ,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-06,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-07,M,34
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-07,M,31
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-07,M,48
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-07,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-07,M,49
TIANGUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-07,M,46
CRATO,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-08,M,45
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-08,M,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-08,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-08,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-08,M,25
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-08,M,45
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-08,F,9
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-08,M,36
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-09,M,32
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-09,M,30
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-09,M,20
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-09,M,60
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-10,M,20
ERERÊ,HOMICIDIO DOLOSO,OUTROS,2019-04-10,F,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-10,M,34
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-10,M,24
BARROQUINHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-10,F,32
FORTALEZA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2019-04-10,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-10,M,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-10,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-11,M,19
GRANJA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-04-11,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-04-11,M,56
