MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
BARBALHA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-03-01,M,29
COREAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-01,M,42
SOBRAL,HOMICIDIO DOLOSO,OUTROS,2019-03-01,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-01,F,18
SANTA QUITÉRIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-01,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-01,M,43
MARACANAÚ,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2019-03-02,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-02,M,34
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-02,M,20
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2019-03-02,M,37
PEDRA BRANCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-02,M,56
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-03,M,50
ITAPIÚNA,HOMICIDIO DOLOSO,OUTROS,2019-03-03,M,-
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-03,M,35
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-03,M,20
JARDIM,HOMICIDIO DOLOSO,ARMA BRANCA,2019-03-03,M,30
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-03,M,25
CAUCAIA,HOMICIDIO DOLOSO,OUTROS,2019-03-03,F,21
ITAPIPOCA,HOMICIDIO DOLOSO,OUTROS,2019-03-03,F,68
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2019-03-03,M,35
FORTALEZA,LESÃO CORPORAL SEGUIDA DE MORTE,ARMA DE FOGO,2019-03-03,M,40
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2019-03-03,M,29
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-04,F,23
PARACURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-04,F,37
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-04,M,23
BARBALHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-04,M,24
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-04,M,32
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-04,F,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-04,M,60
BOA VIAGEM,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-04,M,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-04,M,28
BELA CRUZ,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2019-03-05,M,18
CAUCAIA,HOMICIDIO DOLOSO,OUTROS,2019-03-05,M,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-05,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-05,M,29
MILHÃ,HOMICIDIO DOLOSO,ARMA BRANCA,2019-03-05,M,66
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2019-03-05,M,28
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-05,M,15
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-05,M,28
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-06,M,29
AMONTADA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-03-06,M,27
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2019-03-06,M,26
MASSAPÊ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-06,F,40
VARJOTA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-03-06,M,16
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-03-07,M,25
