MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
ICÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-01,M,24
FORTALEZA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-08-01,M,43
ACARAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-01,M,56
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-01,M,30
SÃO BENEDITO,HOMICIDIO DOLOSO,ARMA BRANCA,2020-08-01,M,48
TIANGUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2020-08-01,M,40
PENTECOSTE,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-08-01,M,51
ACARAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-01,M,28
FORTALEZA,LESAO CORPORAL SEGUIDA DE MORTE,ARMA BRANCA,2020-08-01,M,23
ACARAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-01,M,19
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-02,M,30
MONSENHOR TABOSA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-08-02,F,84
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-02,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-02,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-02,F,39
JAGUARIBE,HOMICIDIO DOLOSO,ARMA BRANCA,2020-08-02,M,37
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-02,M,23
MULUNGU,HOMICIDIO DOLOSO,ARMA BRANCA,2020-08-02,M,21
FORTALEZA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-08-02,M,39
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-02,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-02,M,20
FORQUILHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-03,M,32
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-08-03,F,41
