MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-01,M,19
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-01,M,27
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-01,M,14
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-01,M,41
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-01,M,25
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-01,M,21
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-02,M,34
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-02,M,21
CAUCAIA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-02-02,M,19
MERUOCA,ROUBO SEGUIDO DE MORTE (LATROCINIO),OUTROS MEIOS,2020-02-02,M,31
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-02,M,34
FORTALEZA,LESAO CORPORAL SEGUIDA DE MORTE,OUTROS MEIOS,2020-02-02,M,69
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-02,M,22
SANTA QUITÉRIA,FEMINICÍDIO,ARMA DE FOGO,2020-02-02,F,39
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-02,M,29
TURURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-02,M,21
FORQUILHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-03,M,40
MARANGUAPE,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-02-03,F,35
SÃO LUÍS DO CURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-03,M,15
AQUIRAZ,HOMICIDIO DOLOSO,ARMA BRANCA,2020-02-03,M,42
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-03,M,23
CRATO,HOMICIDIO DOLOSO,ARMA BRANCA,2020-02-03,M,48
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-03,M,31
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-03,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-03,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-04,M,51
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-04,M,59
SÃO LUÍS DO CURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-05,M,21
SABOEIRO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-05,M,50
MORADA NOVA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-02-05,M,39
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-06,M,56
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-06,M,27
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-06,M,81
MOMBAÇA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-02-06,M,34
IPU,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2020-02-06,M,43
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-06,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-06,M,61
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-06,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-06,M,58
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,29
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,22
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,37
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,22
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,29
SENADOR POMPEU,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,26
CANINDÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,19
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,15
BEBERIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,55
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,22
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,20
MAURITI,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-07,M,52
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-08,M,40
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-08,M,26
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-08,M,22
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-08,M,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-02-08,M,37
