MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-01,M,26
CAUCAIA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-01-01,M,40
MAURITI,HOMICIDIO DOLOSO,ARMA BRANCA,2020-01-01,M,23
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-01-01,M,53
FORTALEZA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-01-01,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-01-01,F,18
SANTA QUITÉRIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-01,M,17
FORQUILHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-01,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-01,F,27
ARACOIABA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-01-02,M,29
NOVA JAGUARIBARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-02,M,42
BANABUIÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-02,F,23
FORTALEZA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-01-02,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-02,M,41
PACAJUS,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-01-02,M,22
MILHÃ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-02,M,28
ARACOIABA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-01-02,M,23
ARACOIABA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-01-03,M,50
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-03,M,33
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-03,M,35
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-03,M,20
AQUIRAZ,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2020-01-03,M,25
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-03,M,15
ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-03,M,41
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-03,M,14
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-03,M,27
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-01-03,M,18
BATURITÉ,HOMICIDIO DOLOSO,ARMA BRANCA,2020-01-04,M,50
