MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-01,M,41
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-01,M,16
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-01,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-01,M,20
ARACOIABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-01,M,55
CANINDÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-01,M,32
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-01,M,19
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-01,M,17
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-02,M,20
HIDROLÂNDIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-02,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-02,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-02,M,55
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-02,M,39
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-02,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-02,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,18
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,47
JAGUARUANA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,27
UMIRIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,25
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,26
CAPISTRANO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,25
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,27
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,22
MARACANAÚ,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-07-03,M,1
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,28
CEDRO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,F,14
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,31
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-03,M,42
ITAPAJÉ,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2020-07-03,M,41
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-04,M,20
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-07-04,M,40
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-04,M,-
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-04,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-04,M,56
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-07-04,M,35
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-04,M,19
BANABUIÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2020-07-04,M,64
IPAUMIRIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-07-04,M,42
