MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
COREAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-01,M,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-01,M,35
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-01,F,49
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-01,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-01,M,35
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-01,M,25
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-01,M,52
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,24
ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,21
JAGUARETAMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,30
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,22
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,21
ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,F,52
LAVRAS DA MANGABEIRA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,F,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,20
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,21
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,52
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-02,M,24
GENERAL SAMPAIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-06-03,M,42
